Nro. IMNC,Nombre Insp.,Taller Insp.,Taller IMNC,Sec. Costo,Causa,Estado,Fecha IMNC,Fecha Disp.,Disposición,Fec.Cierre,Fec. Comp. Tareas,Prog OTG,SA IMNC,Cliente,Contrato,OTG Origen,OTP Origen,Agrupador OTP Origen,Operación,Desc. Operación,Taller de la Ope.,Doc. Cliente,Cod.Prov.,Proveedor,Nro. Parte,Nro. Serie,Desc.,Desc. Discrepancia.,Cód. Novedad,OTG Resolución,OTP Resolución,Agrupadora Resolución,Taller Ope ó Taller IMNC,Tecnologia Taller,Matricula / N° Plano
60105,Ikki,3728,3870,,,Cerrado,26/11/2024,27/11/2024,,02/12/2024,01/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933013,742221,390313.0,0,,,,,Goku,390-47233-001_MF,13-13,"VIGA TRANSV,RAMPA AUX-CARGO DOOR","En armado de VIGA TRANSV,RAMPA AUX-CARGO DOOR  390-47233-001_MF se observa C/U 1 perforación fuera de tolerancia para instalación de remache HST10BJ5 zona de FITTING,AUXILIARY RAMP
390-46965-401. Ver detalle en anexo",AGU-008,41933813.0,756229.0,60105.0,3870,ARMADO,13 - 13
60106,Ikki,3728,3870,,,Vigente c/disposición de CRP/CRM,26/11/2024,04/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41933020,754032,390820.0,0,,,,,Goku,390-57293-405,20-20,"PERFIL BORDE, CAR. DE FLAP MOV. #3","En armado de PERFIL BORDE, CAR. DE FLAP MOV. #3 390-57293-405 se observa C/U 1 avellanado incorrecto y/o mayorado para instalación de remache NAS9302E4-02 fuera de tolerancia.",AGU-005,,,,3870,ARMADO,20 - 20
60107,Saga,3768,310,,,Cerrado,26/11/2024,27/11/2024,,27/11/2024,27/11/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,734915,10.0,5,"FRESAR TOCHO A MEDIDAS INDICADAS SEGUN CROQUIS DE PREPARACION DE TOCHO. INDICAR SENTIDO DE FIBRA NUEVAMENTE.
",306.0,,,Goku,390-47757-001,804,"GANCHO, TRAS - PTA CARGA, AC","LA PIEZAS NO TIENEN PROVICIÓN DE MATERIAL , NI NUMERO DE RASTREO ASENTADOS EN LA FICHA DOCUMENTARIA CON LA CUAL NO SE PUEDE GARANTIZAR LA TRAZABILIDAD DEL MATERIAL DE FABRICACIÓN.",CYD-002,,,,306,MECANICA CONVENCIONAL,804 - 804
60108,Shaka,3758,3870,,,Cerrado en Disposición,27/11/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,751417,390819.0,80,"PROCEDER CON EL CONTROL DIMENSIONAL SEGÚN PI 390-56904-407  

REGISTRAR

PN DEL INSTRUMENTO:

FECHA DE VENCIMIENTO:",0.0,,,Goku,390-56904-408,19-19,CARENADO DE FLAP #4 FIJO,"Las referencias 10, 11 y 12 (tolerancia de posición) del PI 390-56904-408 REV B, se encuentran fuera de tolerancia.",AGU-009,,,,3870,ARMADO,19 - 19
60109,Camus,3758,3870,,,Cerrado,27/11/2024,28/11/2024,,29/11/2024,29/11/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,751416,390819.0,80,"PROCEDER CON EL CONTROL DIMENSIONAL SEGÚN PI 390-56903-408

REGISTRAR

PN DEL INSTRUMENTO:

FECHA DE VENCIMIENTO:",0.0,,,Goku,390-56903-408,19-19,CARENADO DE FLAP #3 FIJO,"Características 8-9-10-11 de PI 390-56903-408 REV B se encuentra fuera de tolerancia, se adjunta informe de medición.",GYD-015,41933819.0,756325.0,60109.0,3870,ARMADO,19 - 19
60110,Shun,3748,3748,,,Cerrado,27/11/2024,27/11/2024,,09/12/2024,09/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932804,753807,59810.0,40,"INSPECCIONAR SEGUN PLAN DE INSPECCION.
",9320.0,PT 2019/419361,,Goku,390-04280-003_MF,19-19,"COSTILLA,CARENA MOVIL 3,FLAP-IZQ","La pieza presenta discrepancias en las referencias 3, 6, 8, 13 y 14. Se adjunta informe.",GYD-015,41932804.0,756222.0,60110.0,9320,CONTROL DE CALIDAD,19 - 19
60111,Aioros,3788,3870,,,Cerrado,27/11/2024,27/11/2024,,03/12/2024,03/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933018,751979,390318.0,0,,,,,Goku,390-47518-403_MF,18,"CUAD. 25, GANCHO 08-PUERTA DE CARGA","Durante armado de cuad. 25.gancho 08-puerta de carga P/N 390-47518-403_MF, se observa c/u 1 perforación fuera de tolerancia en union de cuaderna y soporte perfil z con tuerca P/N PE29051Z-3.(segun diseño Ø3.2mm -discrepancia Ø3.90mm.)",AGU-006,41933818.0,756188.0,60111.0,3870,ARMADO,18 - 18
60112,Aioria,3788,3870,,,Cerrado,27/11/2024,27/11/2024,,30/11/2024,30/11/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933017,753087,390317.0,0,,,,,Goku,390-47407-419,17,"PUERTA DE CARGA, EQUIPADA","Imposibilidad de montaje de gancho del pta carga ,ac P/N 390-47741-001, por interferencia de tornillo MS14181-06018P  en c/u 4 perforaciones de fijación.",ADE-003,41933817.0,756223.0,60112.0,3870,ARMADO,17 - 17
60113,Aioria,3788,3870,,,Cerrado,27/11/2024,27/11/2024,,27/11/2024,27/11/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933017,753087,390317.0,0,,,,,Goku,390-47407-419,17,"PUERTA DE CARGA, EQUIPADA","Durante armado de puerta de carga equipada P/N 3920-47407-419 ,se observa que identificación de placas dentadas no corresponden con la geometría de plano/diseño:
Placa dentada P/N 390-47795-002 corresponde a geometria de P/N 390-47747-002
Placa dentada P/N 390-47747-002 corresponde a geometria de P/N 390-47795-002.",PIN-004,41933817.0,756187.0,60113.0,3870,ARMADO,17 - 17
60114,Seiya,3768,416,,,Vigente c/OTP,27/11/2024,28/11/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,750706,0.0,45,"REALIZAR ANODIZADO CRÓMICO CLASE 1 (SIN SELLADO) CON CICLO EMBRAER S/NE 40-030 ( NPF/PRE/002, IOP/PRE/0056 E IOP/PRE/0221) 

REGISTRAR: 
FECHA Y HORA DE FINALIZACIÓN DEL PROCESO:


NOTA: APLICAR LA CORRIENTE DENTRO DE LOS 2 MIN DEL INGRESO DE LAS PIEZAS A LA SOLUCION Y SACARLAS DENTRO DE LOS 2 MIN DE FINALIZADO EL CICLO",416.0,,,Goku,390-47451-001_MF,19-19,LARGUERILLO CENTRAL,"Se observan manchas en varios sectores de la pieza después del tratamiento de anodizado crómico, compatibles con corrocion.",PAM-002,41932805.0,756333.0,60114.0,416,PROCESO QUIMÍCO,19 - 19
60115,Seiya,3768,403,,,Cerrado,27/11/2024,28/11/2024,,04/12/2024,04/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,754820,0.0,40,"PERFILAR EN FRÍO EN CONDICION "" W ""DENTRO DE LOS 10 MIN DE HABER RETIRADO LA PIEZA DE LA CÁMARA FRIGORÍFICA DE ACUERDO CON NE03-076 E IOP/PAM/0002  . VER IPT/PAM/0615
REGISTRAR: (TIEMPO TRANSCURRIDO ENTRE EL RETIRO DE LA PIEZA DE LA CAMARA FRIGORIFICA Y EL CONFORMADO .................. )

NOTA:
EN CASO DE PIEZAS CON OREJAS O SOBREMATERIAL
CORTAR SEGÚN LO INDICADO CON LINEAS DE TRAZOS EN IPT/PAM/0615.
RETIRAR EL EXCESO DE CONTORNO Y REBABAR DE ACUERDO CON NE03-051 (NPF/PAM/008)
CALIBRAR SEGÚN NECESIDAD S/IOP/PAM/0004.
LIMPIAR EL MATERIAL DE ACUERDO CON NE40-012. (NPF/PRE/029 E IOP/PRE/0054
",405.0,,,Goku,390-15376-001,22-24,"SOPORTE, AMS","Se observa entrada de herramienta de 2mm de profundidad, sobre pestaña de 19.3 mm en piezas identificadas como N1 y N2. Ademas en las tres piezas se encuentra fuera de tolerancia la cota e REF 4 indicadas en el plan de inspección adjunto.",PAM-003,41932804.0,756319.0,60115.0,405,CHAPA,22 - 24
60116,Milo,3738,206,,,Vigente c/OTP,27/11/2024,28/11/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100202,753476,56859.0,50,"/
TERMINACION FINAL:
RECORTAR CONTORNOS SEGÚN TRAZOS Y PLANO.
REALIZAR PERFORACIONES DE Ø 2.5MM EN TRAZO SEGÚN CONDICIÓN DE PIEZA PRIMARIA (CANT. 2)
/
",206.0,PT 2020/100100,,Goku,100B--229512A00C,1,PERFIL SUP,"LARGO TOTAL DE LA PIEZA SEGUN PLANO PIDE 753 mm, COTA REAL TIENE 685mm",GYD-009,42100282.0,756252.0,60116.0,206,MATERIAL COMPUESTO,1 - 1
60117,Hyoga,3748,3748,,,Cerrado en Disposición,27/11/2024,27/11/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100204,748520,5.0,5,"REGISTRAR NUMERO DE RASTREO SEGUN IPT-PAM-0010.
VERIFICAR DIRECCION DE FIBRA Y DIMENSIONES SEGUN INSTRUCTIVO CNC E IPT-PAM-0010.
",310.0,PT 2020/100100,,Goku,100B--244000A02B,N/S,TAPA GUIA DEL IZ,"Pieza fuera de configuración, ver PDM 974856",CYD-001,,,,310,CONTROL NUMÉRICO,1 - 1
60118,Hyoga,3748,3748,,,Cerrado,27/11/2024,29/11/2024,,02/12/2024,02/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,748446,0.0,15,"MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
MECANIZAR DENTADO SEGUN IPT-PAM-0819.
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
",310.0,,,Goku,390-47743-001,N/S,"GANCHO, DEL - PTA CARGA, AC","Ref 14 Espesor de 4 (±0.4) se encuentra bajo medida y fuera de tolerancias, tienen Min 3.4 y Max 3.74 mm",GYD-007,41932805.0,756428.0,60118.0,310,CONTROL NUMÉRICO,20 - 20
60119,Shiryu,3758,3748,,,Cerrado,28/11/2024,29/11/2024,,03/12/2024,03/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752832,0.0,40,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,3748.0,,,Goku,390-57514-405_MF,20-20,"CHARNELA CENTRAL, IZQ-SPOILER 3",De acuerdo a plan de insp. 390-57514-405_MF REV A las ref. 15-16-21-23 se encuentran fuera de tolerancia. Tambien la pieza se encuentra con rebabas y los chaflanes para rotulas estan desplpazados del eje central. Ver pieza e informe adjunto.,GYD-015,41932805.0,756414.0,60119.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),20 - 20
60120,Ikki,3728,3870,,,Vigente c/disposición de CRP/CRM,28/11/2024,11/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932101,100010,0.0,0,,,PT 2019/419361,,Goku,PE64055-7-306C,,"BUJE, INOX",De acuerdo a imnc de referencia N° 60051 se genera novedad por interferencia y sin protección en C/U 1 Buje PE64055-7-306C y C/U 2 Bulones NAS6707-25D.,ADE-003,,,,3870,ARMADO,0 - 0
60121,Aioria,3788,3870,,,Vigente c/OTP,28/11/2024,03/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932101,100010,0.0,0,,,PT 2019/419361,,Goku,390-04119-001_MF1,19,"REFUERZO,CARENA MOVIL 4,FLAP-IZQ","Se observa refuerzo carenado P/N 390-04119-001_MF1 mal identificado ,geometria pertenece a P/N  390-04119-001_MF",PIN-004,41932804.0,756508.0,60121.0,3870,ARMADO,0 - 0
60122,Ikki,3728,3870,,,Cerrado,28/11/2024,02/12/2024,,12/12/2024,12/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,752787,390819.0,0,,,,,Goku,390-57234-412,19-19,CARENADO DE FLAP #4 MOV.,"En armado de CARENADO DE FLAP #4 MOV. 390-57234-412 se observa separación / GAP de 1.5 mm fuera de tolerancia entre CARENADO FLAP 4 MOVIL 390-57235-406_MF Y RIB,MOVABLE FAIRING 4,FLAP 390-57249-002. De acuerdo a diseño GAP máx.. es de 1 mm. Ver detalle en anexo",ADE-004,41933819.0,756445.0,60122.0,3870,ARMADO,19 - 19
60123,Ikki,3728,3870,,,Cerrado,28/11/2024,02/12/2024,,11/12/2024,06/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41933019,752776,390819.0,0,,,,,Goku,390-57234-411,19-19,CARENADO DE FLAP #4 MOV.,En armado de conjunto CARENADO DE FLAP #4 MOV. 390-57234-411 se observa GAP de 1.9 mm máx.. fuera de tolerancia en unión de Cuaderna 390-57249-001 con Carenado Flap 390-57235-405_MF.  GAP máx.. de acuerdo a diseño 1 mm . Ver anexo,ADE-004,41933819.0,756446.0,60123.0,3870,ARMADO,19 - 19
60124,Ikki,3728,3870,975.0,Materiales,Vigente c/OTP,28/11/2024,04/12/2024,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41933022,754038,390822.0,0,,,,,Goku,390-57276-406,22-22,"PERFIL BORDE, CAR. DE FLAP MOV. #1","En armado de PERFIL BORDE, CAR. DE FLAP MOV. #1 390-57276-406 se observa imposibilidad de armado por interferencia en unión de Perfil  Borde 390-04297-004_MF con Refuerzo 390-04106-002. Refuerzo 390-04106-002 presenta deformación y/ o mala conformación de acuerdo a diseño.",ADE-003,41933822.0,756892.0,60124.0,3870,ARMADO,22 - 22
60125,Aldebaran,3788,1222,,,Vigente c/OTP,28/11/2024,28/11/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100201,745273,0.0,240,Instalar CONTRATOMA (POS. 65) contra REFUERZO COSTILLA COMANDOS (POS. 55) y fijar TOMA ALERON (POS. 67) con TORNILLO (POS. 102). Instalar CONTRA TOMA 1 (POS. 77) y CONTRA TOMA 2 (POS. 78) contra COSTILLA MEDIA 1 (POS. 13) y fijar TOMA FLAP ALE (POS. 68) con TORNILLO (POS. 105). Instalar CONTRATOMA (POS. 4) contra COSTILLA RAIZ COMPUESTO (POS. 85) y CONTRATOMA (POS. 5) contra REFUERZO PIN TREN (POS. 50) y fijar TOMA POSTERIOR (POS. 82) con BULON (POS. 110).,222.0,PT 2020/100100,,Goku,100B--110000A00U,1-1,ALA IZQ. PRE-EQUIPADA,"Ref. QA22: 5022. ""Al presentar RECUBRIMIENTO EXTRADOS 100B110320A00C con dispositivo gripper se observa en zonas varias que no se cumple con la separación mínima de pegado de 0.25 mm"". Se realizó verificación de luces de separación. Ver anexo.-",ADE-004,42100281.0,756327.0,60125.0,222,,1 - 1
60126,Hyoga,3748,3748,,,Cerrado,28/11/2024,29/11/2024,,06/12/2024,06/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932104,746682,0.0,15,"PLANEAR A PIE DE MAQUINA CARA DE APOYO (SOLO UN LADO) REMOVIENDO 0.5MM
MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
MECANIZAR DENTADO SEGUN IPT-PAM-0819
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
IDENTIFICAR PIEZAS SEGUN CROQUIS CNC LADO 3
",310.0,,,Goku,390-47739-002,N/S,"PLACA,DENTADA - PTA CARGA, AC","REF 3; 8; 9 y 10 del PI se encuentran fuera de tolerancias. ver informe adjunto y PI.
El dentado se encentra con valles muy amplios (con radios grandes) y los filetes muy finos",GYD-003,41932804.0,756371.0,60126.0,310,CONTROL NUMÉRICO,18 - 18
60127,Shun,3748,3748,,,Cerrado,29/11/2024,29/11/2024,,03/12/2024,03/12/2024,Tiger I,Tiger I,Jamir,Tiger I,42100286,754255,59890.0,45,"INSPECCIONAR SEGUN PLAN DE INSPECCION.
INSPECCIONAR ALOJAMIENTO PARA ROTULA SEGUN NPF-PAM-036 FIGURA 1 Y TABLA 5.
",3748.0,PT 2020/100100,,Goku,100B--241800A01B,1-1,SOPORTE PILOTO TRAS DER.,"Se observa que la pieza presenta 4 diámetros de 2,5 mm desplazados, al igual que los dos de 11 mm.",AGU-009,42100286.0,756367.0,60127.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),1 - 1
60128,Hyoga,3748,3748,,,Anulado,29/11/2024,,,,,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752847,0.0,10,"MECANIZAR EN FRESA CNC SEGUN PROGRAMAS, INSTRUCTIVO Y CROQUIS.
ALESAR POR CNC SEGÚN IPT-PAM-0967
IDENTIFICAR CON ETIQUETA COLGANTE SEGUN IPT-PAM-0492 METODO K.
",310.0,,,Goku,390-57614-406_MF,N/S,"CHARNELA CENTRAL,DER-SPOILER 4","Ref 15 y 16 del PI se encuentran fuera de tolerancia, ver informe adjunto.
Presenta resaltos con Radio cero en todos los radios de fondo y rebabas o partes de clamps en sectores indicados.",GYD-003,,,,310,CONTROL NUMÉRICO,19 - 19
60129,Mu,3758,3748,,,Cerrado,29/11/2024,29/11/2024,,18/12/2024,18/12/2024,Tiger I,Tiger I,Jamir,Tiger I,42100204,748011,5.0,45,"EFEC. ROSCA 1 1/4 - 18 UNJF 3A DEJANDO DIÁMETRO MEDIO A MÁX.: 30,833; MÍN.: 30,741.",303.0,PT 2020/100100,,Goku,100B--412310A01B,1-1,BRAZO INFERIOR,La pieza presenta entrada de herramienta. dar disposición de Scrap por resolución de Mel,PAM-003,42100284.0,756373.0,60129.0,303,MECANICA CONVENCIONAL,1 - 1
60130,Seiya,3768,416,,,Cerrado,29/11/2024,02/12/2024,,05/12/2024,05/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752836,0.0,75,"REALIZAR PROCESO DE SHOT PEENING A LA PIEZA (LADO 2) Y VERIFICACION FINAL CON PROBETA ALMEN S/NE40-072 (NPF/PAM/027, IOP/PRE/0284, IOP/PRE/0285).                                                                                                                                                                                                                         GRANALLA: CW-32                                                                                                                                                                                                                                                            INTENSIDAD ALMEN:  0.006A - 0.010A                                                                                                                                                                                                                                              RECETA: 
KC390-0024 LADO 1
KC390-0025 LADO 2",416.0,,,Goku,390-57714-405_MF,20-20,"CHARNELA CENTRAL,IZQ-SPOILER 5","Se observa falta de cobertura en zona de borde de agujeros tolerados, las granallas no impactaron en dicha zona. Ademas presenta en varios sectores de la pieza, deformaciones de radios externos ocasionados por el impacto de la granalla en radio 90 sin rebabar.",GYD-013,41932805.0,756429.0,60130.0,416,PROCESO QUIMÍCO,20 - 20
60131,Seiya,3768,416,,,Cerrado,29/11/2024,02/12/2024,,05/12/2024,05/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752849,0.0,75,"REALIZAR PROCESO DE SHOT PEENING A LA PIEZA (LADO 2) Y VERIFICACION FINAL CON PROBETA ALMEN S/NE40-072 (NPF/PAM/027, IOP/PRE/0284, IOP/PRE/0285).                                                                                                                                                                                                                         GRANALLA: CW-32                                                                                                                                                                                                                                                            INTENSIDAD ALMEN:  0.006A - 0.010A                                                                                                                                                                                                                                              RECETA: 
KC390-0024 LADO 1
KC390-0025 LADO 2",416.0,,,Goku,390-57714-406_MF,19-19,"CHARNELA CENTRAL,DER-SPOILER 5","Se observa falta de cobertura en zona de borde de agujeros tolerados, las granallas no impactaron en dicha zona. Ademas presenta en varios sectores de la pieza, deformaciones de radios externos ocasionados por el impacto de la granalla en radio 90 sin rebabar.",GYD-013,41932805.0,756430.0,60131.0,416,PROCESO QUIMÍCO,19 - 19
60132,Shun,3748,3748,,,Cerrado,29/11/2024,03/12/2024,,10/12/2024,10/12/2024,Panzer IV,Panzer IV,Santuario,Panzer IV,41932105,752845,0.0,45,INSPECCIONAR SEGÚN PLAN DE INSPECCIÓN.,3748.0,,,Goku,390-57514-406_MF,19-19,"CHARNELA CENTRAL, DER-SPOILER 3","La pieza presenta discrepancias con respecto al plan de inspección. Ver informe adjunto.
Los chaflanes de los diámetros 25.4 mm se encuentran desplazados.",GYD-015,41932805.0,756520.0,60132.0,3748,VARIOS - (ANULAR DESPUES DE ACT.TABLA TALLERES),19 - 19
60133,Aioros,3788,1209,,,Vigente c/OTP,29/11/2024,03/12/2024,,,,Tiger I,Tiger I,Jamir,Tiger I,42100201,745781,0.0,0,,,PT 2020/100100,,Goku,100B--120000A00U,1,ALA DER. PRE-EQUIPADA,Recubriendo  100B-110320A00C posee interferencia con LARGUERO PRINCIPAL COMP. 100B-110011A00C en zona de núcleo espumoso,ADE-003,42100281.0,756781.0,60133.0,1209,,1 - 1
